query_id,config_top_k,config_threshold,config_temperature,config_response_mode,map_score,mrr_score,correctness,relevancy,faithfulness,bleu_score,total_time
d42eca7d,3,0.35,0.5,compact,1.0,1.0,4.0,1.0,1.0,0.5052279240652235,2.149714231491089
f6d4e2a5,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,1.0,2.1443347930908203
209d67b9,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.2306618690490723
f2aa0c49,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,0.7977240352174656,1.3727469444274902
63e2a964,3,0.35,0.5,compact,1.0,1.0,4.0,1.0,0.0,0.538305421923955,2.0050158500671387
d1440325,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,0.5424975142220966,1.33073091506958
44d5b178,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.548201084136963
347708ad,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,0.8370455349335584,1.4352047443389893
2e49387e,3,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,0.8401680504168059,1.7422878742218018
93940125,3,0.35,0.5,compact,1.0,1.0,4.0,1.0,1.0,0.18885003485394347,2.5577430725097656
f1ac1852,3,0.35,0.5,compact,0.0,0.0,1.0,0.0,1.0,3.6201205882143917e-155,1.7409021854400635
849d3361,3,0.5,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.4327008724212646
ca450431,3,0.5,0.0,compact,1.0,1.0,5.0,1.0,0.0,0.4588314677411235,1.4041290283203125
00bdad3f,3,0.5,0.0,compact,1.0,1.0,5.0,1.0,0.0,0.35043832202523123,1.3933019638061523
3b06dd93,3,0.5,0.0,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.2973768711090088
ba3790fa,3,0.5,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.441927194595337
65d98c76,3,0.5,0.0,compact,1.0,1.0,4.0,1.0,1.0,0.43837575820390956,2.156831979751587
03a533a3,3,0.5,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.4439098834991455
67fabf7a,3,0.5,0.0,compact,1.0,1.0,3.0,1.0,0.0,0.3454325860389904,4.4946818351745605
841e8920,3,0.5,0.0,compact,1.0,1.0,5.0,1.0,1.0,0.08421104469870049,5.014784097671509
d42eca7d,3,0.5,0.0,compact,1.0,1.0,4.0,1.0,1.0,0.5052279240652235,1.7472000122070312
f6d4e2a5,3,0.5,0.0,compact,1.0,1.0,5.0,1.0,0.0,1.0,2.592353105545044
209d67b9,3,0.5,0.0,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.4409427642822266
f2aa0c49,3,0.5,0.0,compact,1.0,1.0,5.0,1.0,1.0,0.7977240352174656,2.848445177078247
63e2a964,3,0.5,0.0,compact,1.0,1.0,4.0,1.0,0.0,0.4251600867505681,2.481135129928589
d1440325,3,0.5,0.0,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.2851600646972656
44d5b178,3,0.5,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.2562580108642578
347708ad,3,0.5,0.0,compact,1.0,1.0,5.0,1.0,1.0,0.8370455349335584,1.9464919567108154
